date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,8.6,2.2,16.7,0,,,1.5,,1021.6,
2014-01-02,10,3.3,18.3,0,,,1.4,,1019.8,
2014-01-03,10.7,5,17.8,0,,,2.5,,1016.5,
2014-01-04,10.5,5,18.9,0,,,4.6,,1016.4,
2014-01-05,9.7,1.7,18.9,0,,,2,,1020.9,
2014-01-06,9.7,4.4,16.1,0,,,2.3,,1023,
2014-01-07,10.9,7.2,16.7,0,,,4.5,,1021.6,
2014-01-08,11.7,10,14.4,,,,7.3,,,
2014-01-09,11.3,8.9,15,,,,7.3,,1023.8,
2014-01-10,10.3,5,16.7,0,,,3.3,,1023.9,
2014-01-11,10,6.7,15,0,,,4.2,,1023.4,
2014-01-12,10.2,6.7,15,0,,,9.9,,1026.6,
2014-01-13,12,7.2,19.4,0,,,5.1,,1029,
2014-01-14,12.7,3.9,23.9,0,,,5.5,,1028.5,
2014-01-15,12.6,5,21.7,0,,,3.6,,1025,
2014-01-16,12.5,5,22.2,0,,,1.8,,1021.8,
2014-01-17,11.8,5,20,0,,,2.8,,1020.6,
2014-01-18,11.4,3.3,21.1,0,,,2.2,,1019.6,
2014-01-19,10.6,3.9,20,0,,,1.6,,1018.9,
2014-01-20,11.2,3.3,20.6,0,,,2.3,,1021.3,
2014-01-21,10.4,3.3,19.4,0,,,2.4,,1023,
2014-01-22,11.6,3.9,22.2,0,,,4.1,,1017.6,
2014-01-23,11.5,5,19.4,0,,,3.6,,1013,
2014-01-24,11.3,5,18.3,0,,,2,,1020.8,
2014-01-25,13.2,7.2,21.7,0,,,3.2,,1022.6,
2014-01-26,13.1,7.2,21.7,0,,,5.5,,1018.8,
2014-01-27,11.4,8.3,17.2,0,,,3.9,,1020.8,
2014-01-28,14,9.4,18.9,0,,,6.3,,,
2014-01-29,15.6,13.3,20,,,,5.9,,1020,
2014-01-30,12.6,11.1,15.6,,,,10.8,,1012.9,
2014-01-31,10.9,7.2,15,,,,9.2,,1016.7,
2014-02-01,8.8,3.3,15.6,0,,,6.4,,1019.8,
2014-02-02,8.8,5.6,12.2,,,,16.9,,1013.7,
2014-02-03,8.8,5.6,13.3,0,,,9.2,,1017.1,
2014-02-04,7.7,2.8,12.2,0,,,8.7,,1019.8,
2014-02-05,8.4,3.3,13.9,,,,7.3,,1021.2,
2014-02-06,10,7.8,12.2,15.9,,,15.6,,1014.6,
2014-02-07,11.2,10,12.2,,,,15.5,,1017.8,
2014-02-08,14.1,11.7,16.1,,,131,21.3,,1020.2,
2014-02-09,15.1,13.9,16.7,1.3,,134,16.8,,1020.5,
2014-02-10,13.6,11.1,15.6,,,,8.9,,1023.2,
2014-02-11,11.8,9.4,16.1,0,,,5.3,,1023.3,
2014-02-12,12.3,10,16.7,0,,,4.6,,1023.7,
2014-02-13,14,10,20,0,,,6.6,,1021.4,
2014-02-14,14.5,12.8,17.2,,,,5.8,,1020.1,
2014-02-15,12.9,8.9,16.7,,,,8.4,,1016.5,
2014-02-16,13.4,10,17.2,,,,8.7,,1020.3,
2014-02-17,10.3,5,15.6,0,,,9.1,,1020.9,
2014-02-18,11.2,6.1,17.2,0,,,6,,1021,
2014-02-19,12.9,10,17.2,,,,12.9,,,
2014-02-20,12.3,6.1,18.9,0,,,6.1,,1021.4,
2014-02-21,13.1,6.1,21.7,0,,,6.9,,1017.9,
2014-02-22,12.5,6.1,21.1,0,,,7.2,,1015.2,
2014-02-23,12.5,7.2,20,0,,,4.8,,1015.5,
2014-02-24,14.2,6.7,22.8,0,,,5,,1014.4,
2014-02-25,12.2,7.2,17.8,0,,,9.3,,1014,
2014-02-26,13.4,11.7,16.1,,,126,21.6,,1011,
2014-02-27,14.7,11.7,18.3,,,122,15.2,,1009,
2014-02-28,13,11.7,16.1,,,120,19.8,,996.7,
2014-03-01,14.1,11.1,18.3,,,114,23.3,,1002.4,
2014-03-02,13.6,11.7,16.7,,,,14.5,,1015.6,
2014-03-03,12.5,9.4,16.1,,,126,12,,1019.8,
2014-03-04,14.8,11.7,18.9,0.3,,,10.5,,1018.3,
2014-03-05,16.4,11.7,22.8,0,,,11.6,,1018,
2014-03-06,15.5,12.2,18.9,,,,11.5,,1020.5,
2014-03-07,14,9.4,19.4,0,,,10.4,,1020.8,
2014-03-08,15.2,7.8,22.8,0,,,5.2,,1021,
2014-03-09,,,,,,,,,,
2014-03-10,16,12.8,20,,,,15.1,,1021.4,
2014-03-11,16.2,12.8,21.1,0,,,17.5,,1019,
2014-03-12,18.3,10.6,25,0,,,12.2,,1016.6,
2014-03-13,16.1,8.3,25,0,,,9,,1016.6,
2014-03-14,14,7.2,21.7,0,,,8.6,,1020.9,
2014-03-15,16.8,9.4,25.6,0,,,7.6,,1024.6,
2014-03-16,15.8,10,25,0,,,7.3,,1024.7,
2014-03-17,13.8,9.4,20,0,,,13.1,,1019.5,
2014-03-18,14.5,6.7,21.7,0,,,10.1,,1013.9,
2014-03-19,15.2,7.8,23.9,0,,,6.3,,1016.7,
2014-03-20,15.6,10.6,23.3,0,,,9.5,,1016.1,
2014-03-21,13.2,7.8,20.6,0,,,7.3,,1014.8,
2014-03-22,13.5,7.8,21.1,0,,,10,,1017.6,
2014-03-23,13.5,8.9,20.6,0,,,7.7,,1020.2,
2014-03-24,15.3,8.3,23.9,0,,,8.1,,1018.8,
2014-03-25,13.3,8.3,18.9,,,,7.7,,1014.9,
2014-03-26,13.1,11.1,16.7,,,,11.3,,1011.7,
2014-03-27,13.4,8.9,18.3,0,,,8.4,,1017.8,
2014-03-28,15.3,10,20.6,0,,,10.3,,1020.8,
2014-03-29,13.7,11.1,17.2,,,,14,,1018.4,
2014-03-30,12.2,8.3,16.1,0.3,,,10.8,,1019.2,
2014-03-31,9.5,6.1,13.9,,,,13.4,,1014.2,
2014-04-01,9.1,6.1,13.9,,,127,16.8,,1012.9,
2014-04-02,10.8,6.1,15.6,,,,12,,1016.2,
2014-04-03,12.1,6.1,18.3,0,,,9.5,,1018.7,
2014-04-04,11.8,10,15.6,,,,13.5,,1016.7,
2014-04-05,13.4,10,19.4,0,,,12.6,,1020.1,
